Generation,FitnessScore,SolvationEnergy,Eisenberg,HelixPropensity
190,17.2892,7.0000,0.3445,1.0981
191,17.2892,7.0000,0.3445,1.0981
192,17.2892,7.0000,0.3445,1.0981
193,17.2892,7.0000,0.3445,1.0981
194,17.2892,7.0000,0.3445,1.0981
195,17.2892,7.0000,0.3445,1.0981
196,17.2892,7.0000,0.3445,1.0981
197,17.2892,7.0000,0.3445,1.0981
198,17.2892,7.0000,0.3445,1.0981
199,17.2892,7.0000,0.3445,1.0981
200,17.2892,7.0000,0.3445,1.0981
201,17.2892,7.0000,0.3445,1.0981
202,17.2892,7.0000,0.3445,1.0981
203,17.2892,7.0000,0.3445,1.0981
204,17.2892,7.0000,0.3445,1.0981
205,17.2892,7.0000,0.3445,1.0981
206,17.2892,7.0000,0.3445,1.0981
207,17.2892,7.0000,0.3445,1.0981
208,17.2892,7.0000,0.3445,1.0981
209,17.2892,7.0000,0.3445,1.0981
210,17.2892,7.0000,0.3445,1.0981
211,17.2892,7.0000,0.3445,1.0981
212,17.2892,7.0000,0.3445,1.0981
213,17.2892,7.0000,0.3445,1.0981
214,17.2892,7.0000,0.3445,1.0981
215,17.2892,7.0000,0.3445,1.0981
216,17.2892,7.0000,0.3445,1.0981
217,17.2892,7.0000,0.3445,1.0981
218,17.2892,7.0000,0.3445,1.0981
219,17.2892,7.0000,0.3445,1.0981
220,17.2892,7.0000,0.3445,1.0981
221,17.2892,7.0000,0.3445,1.0981
222,17.2892,7.0000,0.3445,1.0981
223,17.2892,7.0000,0.3445,1.0981
224,17.2892,7.0000,0.3445,1.0981
225,17.2892,7.0000,0.3445,1.0981
226,17.2892,7.0000,0.3445,1.0981
227,17.2892,7.0000,0.3445,1.0981
228,17.2892,7.0000,0.3445,1.0981
229,17.2892,7.0000,0.3445,1.0981
230,17.2892,7.0000,0.3445,1.0981
231,17.2892,7.0000,0.3445,1.0981
232,17.2892,7.0000,0.3445,1.0981
233,17.2892,7.0000,0.3445,1.0981
234,17.2892,7.0000,0.3445,1.0981
235,17.2892,7.0000,0.3445,1.0981
236,17.2892,7.0000,0.3445,1.0981
237,17.2892,7.0000,0.3445,1.0981
238,17.2892,7.0000,0.3445,1.0981
239,17.2892,7.0000,0.3445,1.0981
240,17.2892,7.0000,0.3445,1.0981
241,17.2892,7.0000,0.3445,1.0981
242,17.2892,7.0000,0.3445,1.0981
243,17.2892,7.0000,0.3445,1.0981
244,17.2892,7.0000,0.3445,1.0981
245,17.2892,7.0000,0.3445,1.0981
246,17.2892,7.0000,0.3445,1.0981
247,17.2892,7.0000,0.3445,1.0981
248,17.2892,7.0000,0.3445,1.0981
249,17.2892,7.0000,0.3445,1.0981
250,17.2892,7.0000,0.3445,1.0981
251,17.2892,7.0000,0.3445,1.0981
252,17.2892,7.0000,0.3445,1.0981
253,17.2892,7.0000,0.3445,1.0981
254,17.2892,7.0000,0.3445,1.0981
255,17.2892,7.0000,0.3445,1.0981
256,17.2892,7.0000,0.3445,1.0981
257,17.2892,7.0000,0.3445,1.0981
258,17.2892,7.0000,0.3445,1.0981
259,17.2892,7.0000,0.3445,1.0981
260,17.2892,7.0000,0.3445,1.0981
261,17.2892,7.0000,0.3445,1.0981
262,17.2892,7.0000,0.3445,1.0981
263,17.2892,7.0000,0.3445,1.0981
264,17.2892,7.0000,0.3445,1.0981
265,17.2892,7.0000,0.3445,1.0981
266,17.2892,7.0000,0.3445,1.0981
267,17.2892,7.0000,0.3445,1.0981
268,17.2892,7.0000,0.3445,1.0981
269,17.2892,7.0000,0.3445,1.0981
270,17.2892,7.0000,0.3445,1.0981
271,17.2892,7.0000,0.3445,1.0981
272,17.2892,7.0000,0.3445,1.0981
273,17.2892,7.0000,0.3445,1.0981
274,17.2892,7.0000,0.3445,1.0981
275,17.2892,7.0000,0.3445,1.0981
276,17.2892,7.0000,0.3445,1.0981
277,17.2892,7.0000,0.3445,1.0981
278,17.2892,7.0000,0.3445,1.0981
279,17.2892,7.0000,0.3445,1.0981
280,17.2892,7.0000,0.3445,1.0981
281,17.2892,7.0000,0.3445,1.0981
282,17.2892,7.0000,0.3445,1.0981
283,17.2892,7.0000,0.3445,1.0981
284,17.2892,7.0000,0.3445,1.0981
285,17.2892,7.0000,0.3445,1.0981
286,17.2892,7.0000,0.3445,1.0981
287,17.2892,7.0000,0.3445,1.0981
288,17.2892,7.0000,0.3445,1.0981
289,17.2892,7.0000,0.3445,1.0981
290,17.2892,7.0000,0.3445,1.0981
291,17.2892,7.0000,0.3445,1.0981
292,17.2892,7.0000,0.3445,1.0981
293,17.2892,7.0000,0.3445,1.0981
294,17.2892,7.0000,0.3445,1.0981
295,17.2892,7.0000,0.3445,1.0981
296,17.2892,7.0000,0.3445,1.0981
297,17.2892,7.0000,0.3445,1.0981
298,17.2892,7.0000,0.3445,1.0981
299,17.2892,7.0000,0.3445,1.0981
300,17.2892,7.0000,0.3445,1.0981
301,17.2892,7.0000,0.3445,1.0981
302,17.2892,7.0000,0.3445,1.0981
303,17.2892,7.0000,0.3445,1.0981
304,17.2892,7.0000,0.3445,1.0981
305,17.2892,7.0000,0.3445,1.0981
306,17.2892,7.0000,0.3445,1.0981
307,17.2892,7.0000,0.3445,1.0981
308,17.2892,7.0000,0.3445,1.0981
309,17.2892,7.0000,0.3445,1.0981
310,17.2892,7.0000,0.3445,1.0981
311,17.2892,7.0000,0.3445,1.0981
312,17.2892,7.0000,0.3445,1.0981
313,17.2892,7.0000,0.3445,1.0981
314,17.2892,7.0000,0.3445,1.0981
315,17.2892,7.0000,0.3445,1.0981
316,17.2892,7.0000,0.3445,1.0981
317,17.2892,7.0000,0.3445,1.0981
318,17.2892,7.0000,0.3445,1.0981
319,17.2892,7.0000,0.3445,1.0981
320,17.2892,7.0000,0.3445,1.0981
321,17.2892,7.0000,0.3445,1.0981
322,17.2892,7.0000,0.3445,1.0981
323,17.2892,7.0000,0.3445,1.0981
324,17.2892,7.0000,0.3445,1.0981
325,17.2892,7.0000,0.3445,1.0981
326,17.2892,7.0000,0.3445,1.0981
327,17.2892,7.0000,0.3445,1.0981
328,17.2892,7.0000,0.3445,1.0981
329,17.2892,7.0000,0.3445,1.0981
330,17.2892,7.0000,0.3445,1.0981
331,17.2892,7.0000,0.3445,1.0981
332,17.2892,7.0000,0.3445,1.0981
333,17.2892,7.0000,0.3445,1.0981
334,17.2892,7.0000,0.3445,1.0981
335,17.2892,7.0000,0.3445,1.0981
336,17.2892,7.0000,0.3445,1.0981
337,17.2892,7.0000,0.3445,1.0981
338,17.2892,7.0000,0.3445,1.0981
339,17.2892,7.0000,0.3445,1.0981
340,17.2892,7.0000,0.3445,1.0981
341,17.2892,7.0000,0.3445,1.0981
342,17.2892,7.0000,0.3445,1.0981
343,17.2892,7.0000,0.3445,1.0981
344,17.2892,7.0000,0.3445,1.0981
345,17.2892,7.0000,0.3445,1.0981
346,17.2892,7.0000,0.3445,1.0981
347,17.2892,7.0000,0.3445,1.0981
348,17.2892,7.0000,0.3445,1.0981
349,17.2892,7.0000,0.3445,1.0981
350,17.2892,7.0000,0.3445,1.0981
351,17.2892,7.0000,0.3445,1.0981
352,17.2892,7.0000,0.3445,1.0981
353,17.2892,7.0000,0.3445,1.0981
354,17.2892,7.0000,0.3445,1.0981
355,17.2892,7.0000,0.3445,1.0981
356,17.2892,7.0000,0.3445,1.0981
357,17.2892,7.0000,0.3445,1.0981
358,17.2892,7.0000,0.3445,1.0981
359,17.2892,7.0000,0.3445,1.0981
360,17.2892,7.0000,0.3445,1.0981
361,17.2892,7.0000,0.3445,1.0981
362,17.2892,7.0000,0.3445,1.0981
363,17.2892,7.0000,0.3445,1.0981
364,17.2892,7.0000,0.3445,1.0981
365,17.2892,7.0000,0.3445,1.0981
366,17.2892,7.0000,0.3445,1.0981
367,17.2892,7.0000,0.3445,1.0981
368,17.2892,7.0000,0.3445,1.0981
369,17.2892,7.0000,0.3445,1.0981
370,17.2892,7.0000,0.3445,1.0981
371,17.2892,7.0000,0.3445,1.0981
372,17.2892,7.0000,0.3445,1.0981
373,17.2892,7.0000,0.3445,1.0981
374,17.2892,7.0000,0.3445,1.0981
375,17.2892,7.0000,0.3445,1.0981
376,17.2892,7.0000,0.3445,1.0981
377,17.2892,7.0000,0.3445,1.0981
378,17.2892,7.0000,0.3445,1.0981
379,17.2892,7.0000,0.3445,1.0981
380,17.2892,7.0000,0.3445,1.0981
381,17.2892,7.0000,0.3445,1.0981
382,17.2892,7.0000,0.3445,1.0981
383,17.2892,7.0000,0.3445,1.0981
384,17.2892,7.0000,0.3445,1.0981
385,17.2892,7.0000,0.3445,1.0981
386,17.2892,7.0000,0.3445,1.0981
387,17.2892,7.0000,0.3445,1.0981
388,17.2892,7.0000,0.3445,1.0981
389,17.2892,7.0000,0.3445,1.0981
390,17.2892,7.0000,0.3445,1.0981
391,17.2892,7.0000,0.3445,1.0981
392,17.2892,7.0000,0.3445,1.0981
393,17.2892,7.0000,0.3445,1.0981
394,17.2892,7.0000,0.3445,1.0981
395,17.2892,7.0000,0.3445,1.0981
396,17.2892,7.0000,0.3445,1.0981
397,17.2892,7.0000,0.3445,1.0981
398,17.2892,7.0000,0.3445,1.0981
399,17.2892,7.0000,0.3445,1.0981
400,17.2892,7.0000,0.3445,1.0981
401,17.2892,7.0000,0.3445,1.0981
402,17.2892,7.0000,0.3445,1.0981
403,17.2892,7.0000,0.3445,1.0981
